"ID","Text","Zuschreibung"
"EDCS-01500175","bene merenti Ursino qui vixit annum unum menses",""
"EDCS-19400056","Dis Manibus Publio Corfidio Signino pomario de agger  a proseucha Quintus Sallustius Hermes amico bene merenti et numerum ollarum decem","mero"
"EDCS-10502146","Dis Manibus Aibkixlisi Diantae uxoris Sextus Ligurus Sextus posuit",""
"EDCS-26100057","Dis Manibus sacrum Quintus Tadius Vic tor Honora tianus pius vixit annos XIII menses XI dies XV hic situs est Honori",""
"EDCS-24900432","Dis Manibus sacrum Priscianus pius vixit annis III mensibus VIII diebus XXI fecit Redemtus pater Redemtus pius vixit annis","pius"
"EDCS-25001649","Dis Manibus sacrum Fructus Caesaris nostri servus pedisequus pius vixit annis XXXI hic situs est","pius"
"EDCS-31500387","Servena Marci filia Maxima annorum XV",""
"EDCS-09802035","Dis Manibus Sextus Caelius Sexti filius Honora tus vixit annos  VII hic situs est",""
"EDCS-27000321","Tullia Marci filia viva fecit sibi et suis Marco Tullio Marci filio Cornelia Cratippo fratri suo sacerdoti Romae et Salutis Tito Aufidio Titi filio Aniensi Balbo filio suo tribuno militum Alexandria ad Aegyptum legionis XXII annos VIIII Tito Aufidio Titi filio Aniensi Spinteri viro suo tribuno militum in Hispania legionis IIII annos V",""
"EDCS-16900296","Iulia Sulpicia Cassi filia S hic sita est sit tibi terra levis H FAB Caius Gracus coniugi VIII",""
"EDCS-14400541","Dis Manibus Hostilio Ter tino annorum XL et Va leriae Sedatae coniugi Hostili Tertul linus et Tertullus parentibus optimis filii fecerunt","optimus"
"EDCS-14201138","Dis Manibus Publius Sullius Zoticus et Sul lia Nice coniunx vivi si bi et filiis et libertis liberta busque posterisque eorum fecerunt ita ne a quoquam eorum hortulus alienetur vel veneat quot si quis donare ve lt n=XI gt dere alienareve aliquo modo voluerit «Iuliae Tatianeti coniugi optimae» et liber «tis libertabusque posterisque eius» «Sullius Stefan»us","optimus"
"EDCS-09600646","Corpus hic situm est Luci Clodii Luci filii Rufini filii Clodii Pompei qui vixit annos IX menses VII dies V Sempronia Cai filia Rufina mater fecit",""
"EDCS-11901280","Dis Manibus sacrum Cogitata an norum V Firmi dius Peregrinus filiae faciendum curavit hic sita est sit tibi terra levis",""
"EDCS-23102989","Dis Manibus vixit annos   menses   dies   fecit Re",""
"EDCS-14500695","Secundino Suri filio annorum LX et Tottiae Prisci filiae coniugi annorum XXX F E S",""
"EDCS-11100327","Sullae Senni filio Remo argentar io ",""
"EDCS-10200011","Dis Manibus sacrum Paternus Cantaber Orgen omescus frater fecit annorum XX",""
"EDCS-09801369","Iulius Victoricus valuit annis XXXVI",""
"EDCS-47800756","Iohana",""
"EDCS-22100207","Lucius Laelius Luci filius Scurra",""
"EDCS-46300016","Dis Manibus sacrum memor iae Mari nae filiae",""
"EDCS-09600723","Dis Manibus Marci Cloeli Hilari   cognat    VI",""
"EDCS-04203419","Dis Manibus Luci Caeli Arriani medico legionis II Italicae qui vixit annos XXXXVIIII menses VII Scribonia Faustina coniugi karissimo",""
"EDCS-08700582","In fronte pedes XII in agro pedes X Cornelia Faustilla annorum XXV hic sita est sit tibi terra levis",""
"EDCS-00600324","Dis Manibus Eugeneti ma rito bene me renti qui vixit annos XXXV Athen us coniunx fecit",""
"EDCS-20601003","tho Augusti liberto a rationibus    imo et     Augusti liberto a rationibus    simo    usi",""
"EDCS-26600588"," Proculus Savaria optio legionis II Adiutricis stipendiorum VI annorum XXV hic situs est Valeria Procula mater et Valerius Fuscus frater titulum memoriae posuerunt",""
"EDCS-21300134","Dis Manibus Aurelia Luci filia Maxima vixit annos II Aurelius Fortunatus pater piissimus faciendum curavit","pius"
"EDCS-23102672","Valeria Synethe  Marcus Valerius Ga",""
"EDCS-19300045","Dis Manibus Caio Nerio Filemoni qui vixit annos III menses IIX Caius Nerius Pannuchus et Neria Filenis parentes filio pientissimo fecerunt",""
"EDCS-70900233","Marcus Petacius Marci filius Menenia Severus vixit annos XVII",""
"EDCS-14805732","Pituania Luci liberta Delphis fecit sibi et Publio Mucio Nedymo viro suo redemptori operum Caesarum Lucio Pituanio Eleganti patri VIviro Augustali Reate Pituaniae Secundae matri Frontidi sorori Pituaniae Marcellae  lt f=E gt iliae Lucio Pituanio Amando Lucio Pituanio Latino Lucio Pituanio Reatino liberto suo et libertis libertabus posterisque eorum",""
"EDCS-23201457","Tito Aurelio Iusto fratri eius Decimo Modestio Pagano vixit annos XV Aelius Secundus signifer heres amicis faciendum curavit  RLS",""
"EDCS-75200379","Dis Manibus Quintus Ovius Merca tor vixit annos VIIII Quintus Ovius Silvanus vixit annos VII Quintus Ovius Ursulus et Silvana parentes infelices filiis posu erunt quod filii pa rentibus facere debuerunt",""
"EDCS-10200381","Dis Manibus Lucius Avius Pudens Ex soceni libertae su ae carissimae ut meruit feci item mi et meis posteris que in fronte pedes III semis in agro pedes II semis","carissimus"
"EDCS-09401325","Calype  vixit annos XX Valens contubernali bene merenti fecit","mero"
"EDCS-05502200"," Viscunos annorum X",""
"EDCS-45300209","Dis Manibus sacrum Iunia Satu rnina vixit annis XXXI compar fecit hic sita est",""
"EDCS-25601794","Dis Manibus sacrum Cornelius Rufinia nus pius vixit ann is XLVI hic situs est","pius"
"EDCS-13801791","Dis Manibus hoc monumentum sive sepulcrum com paravit sibi Rubria Iulia et Marco Rubrio Zosimo patrono optimo et libertis liberta bus posterisque eorum in fronte pedes XX in agro pedes XIX   concessum a Marco Scaniano Ianuario","bonus"
"EDCS-11501604","Dis Manibus Caio Longinio Seleuco qui vixit annis XXIIII diebus VII Valerius Longus pater filio bene merenti",""
"EDCS-57200220"," unius teget hic ossa  ",""
"EDCS-11200259","Dis Manibus ",""
"EDCS-13700118","Dis Manibus sacrum Seia Amai da se viva mo n lt u=I gt mentum fecit vixit annos LXXX Rusti cus Libosus Ga binius hic siti sunt",""
"EDCS-00600463","Dis Manibus  pta   Eutychus   coniugi sanctissi mae cum qua vixit annos   sine ulla que rella fecit et sibi",""
"EDCS-32700147","Caio Iulio Cai filio Iant Ti   Ia  et coniugi",""
"EDCS-10200796","eti liberto   Frontoni   bene merentibus",""
"EDCS-34200120","Dis Manibus Decimi Patroni Prisci vixit annos LXX hic situs",""
"EDCS-13301027","Parthenio Caesaris Ulpia Restituta uxor",""
"EDCS-08701140","Dis Manibus sacrum Marciana annorum XXXXVII pia in suis sit tibi terra levis",""
"EDCS-10300224","Iulia Saturnina",""
"EDCS-13003042","Dis Manibus sacrum Iulia R ogata coniun lt x=CS gt  Fabi G udulli pia vixit annos LXXXX hic sita est  Dis Manibus sacrum Marcus Fabiu s Gudul lus Fabi Pauli filius pius vixit annos LXXXXIII hic situs est","pius"
"EDCS-13900589","Ego a lt v=B gt us bene merenti posui Dex trae nepti quae vixit annos III",""
"EDCS-09802263","Dis Manibus Sittia N ovelia vixit annos C",""
"EDCS-09802331"," vixit annos XXXV hic situs  est",""
"EDCS-73101204"," vixit    e pos",""
"EDCS-25501759","Dis Manibus sacrum Germinius Germinian us vixit an nis  XXXI menses XI dies XX",""
"EDCS-20401798","ninniae   lia   niv   eil ",""
"EDCS-84000024"," in fronte pedes XII in agro pedes XII",""
"EDCS-20600787","Dis Manibus Luci Bellici Eutychetis Fortunata con lt t=I gt ubernali karissimo",""
"EDCS-13000078","In fronte pedes   in agro pedes XII",""
"EDCS-08100411","Dis Manibus Livius Monnosus vixit  annos XIII hic situs",""
"EDCS-09200227","Dis Manibus Lamisca vixit annos XLV hic sita est filia matri bene merenti libens posuit",""
"EDCS-01600638","Sabia Plaetoris liberta Optata viva fecit sibi et suis et Andis Cai filio coniugi et Aufidiae Cai libertae Lyricae filiae suae",""
"EDCS-23700120","Pompo nia Nove la vixit annos XXX XV hic sita est",""
"EDCS-74300385"," Marci filiae   Honorinae   hic sita est ",""
"EDCS-08500358","Tritian us Vir oni s ervus annorum XX hic situs est tibi terra levis",""
"EDCS-11400679","Dis Manibus Aulo Geminio Demetrio de suo sibi dig nissimi heredes curaverunt",""
"EDCS-73100325","Dis Manibus Lucio Romanio Fabio Lucius Romanius Crescentilia nus liberto carissimo",""
"EDCS-76100215","Quinto Flavio Gai  filio Ga lt l=E gt eria Severino Gaius  Iulius Se",""
"EDCS-12401450","Cnaeus Rustius   Rustia Titi Cnaeus   Cnaeus Rustius   hoc monumentum",""
"EDCS-25500092","Dis Manibus sacrum C Felix miles beneficiarius tribuni vixit annos XL C Saturninus","felix"
"EDCS-11401121","Caius Munatius Atimetus vixit annis LVII",""
"EDCS-24000129","Dis Manibus Tiberio Claudio Socrati Tiberius Claudius Priscus filius",""
"EDCS-15600380","Dis Manibus Luci Casperi Carici  ECIII ",""
"EDCS-52800337","Dis Manibus Iunia Spendusa Peculiari filio piissimo qui vixit annis IIII mensibus VIII diebus XIIII horis  ","pius"
"EDCS-11900908","Dis Manibus  o Sulpicio Fe  tllia Pila   dulci  t qui v ixit  annos ",""
"EDCS-23700948","Dis Manibus sacrum Caius Boqurius Fronto valu it annos XLI Vocurius Mustiolus heres faciendum curavit",""
"EDCS-10801207","Dis Manibus Liberali Ioe nilis filio Natalis so cer ponen dum cura vit",""
"EDCS-25800112","Dis Manibus sacrum situs hic Alfius Felix Flavianus est qui partam nimia frugalitate substantiam in diem mortis servavit incolumem sibi hanc constitutus vitae in confinio filiis distribuit consulens concordiae satisque animo dum valet fecit suo vernulis quos habuit libertate consuluit data filiam nurumque adfectionis aequavit gradu has donavit auro atque argento aequaliter vestemque ambabus sua adsignavit manu gratum se atque pium ut commendaret suis ad circa meritos quoque fecit plurimos et qui numquam infirmatus in vita est sua annos peregit duos et octoginta felix vocatus felix vixit cum suis","felix"
"EDCS-28800751","Domui aeternae c lt o=U gt niugi Messillae factum quae vixit cum conpatre suo Romano annis XXXVIII hoc est sepulcrum commune ma lt r=T gt ito cum",""
"EDCS-09001379","Popillia Publi liberta Amoena sibi et Popilliae Publi libertae Musae sorori viva fecit",""
"EDCS-25800271"," hic situs est Vallauna Magni et filii patri posuerunt",""
"EDCS-14200542","Servaeo Sagari Cingonia Eucarpea marito optimo","bonus"
"EDCS-14100044","Antistia Publi filia Luculla vixit annos XVII hic sita est ossa tibi bene quiescant",""
"EDCS-24200617","Dis Manibus Sallusti a Satur nina vixit annos XXXVI",""
"EDCS-16201802","Dis Manibus Titus Flavius Flavianus miles classis praetoriae Misenensis IIItriere Apolline natione Al  vixit annos   heres bene merenti fecit ",""
"EDCS-13002922","Pompe ia Vic toria pia annos vixit XL hic sita est  Verri us Baric pius vixit annos  Quinta sius Ve spertini vixit annos L hic situs est",""
"EDCS-04700291","Dis Manibus Crispino marito karissi mo et sibi",""
"EDCS-09301564","Vivus Lucius Lorinus Felix VIvir Augustalis",""
"EDCS-60400001","Dis Manibus Pontia Felicitas Pontio Felici maioris  filiis pientissimis vixit annis XI mensibus XI diebus XXVII libertis liberta busque posterisque eorum quod si quis vendisse alienumve facere volet tunc iu lt b=V gt eo ad Augustales Puteolanorum pertinere","pientissimus"
"EDCS-05101248","Vivus fecit Oufentina  Quinto Sextilio Quinti filio parenti  Tertiae Cattonis filiae matri",""
"EDCS-15900339","Dis Manibus sacrum Cornelia ",""
"EDCS-31800142"," rus Titi filius Sergia Torquatus decurio   sibi et Titiae  ae uxori suae    io Iusto filio decurioni ",""
"EDCS-34600208","an nis XXXV circiter  hic situs  est",""
"EDCS-04800114","Dis Manibus Ulpiae M  coniugi   quae vixit annos   Aurelius   NVSE",""
"EDCS-10501889","Marco Catio Sabinio",""
"EDCS-23700897"," vixit annos LX hic situs  est ossa tibi bene quiescant",""
"EDCS-18900086","Dis Manibus Caio Setimo Cai filio Scaptia Maximo veterano ex cohorte V praetoria Marcus Antonius Severus fecit amico optimo",""
"EDCS-20100111","Dis Manibus sacrum Caius Aterius M pius vixit annos LXX plus minus Septimia Sal uxor fecit","pius"
"EDCS-09701246","Quinto Aurelio Quinti filio Pio Po  militi legionis III Augustae |centuria Mestri Vi  beneficiario tribuni vixit annos XXVIII militavit",""
"EDCS-14804804","Dis Manibus   Eutichi  ut ici",""
"EDCS-03000405","Dis Manibus",""
"EDCS-12001661","Dis Manibus Decimino",""
"EDCS-05500683","Quinta Ge melli filia annorum XXXV et Helvia  Gemela filia annorum V hic sita est sit tibi levis Lucius  faciendum curavit",""
"EDCS-08900408","Dis Manibus Nimphidi     II vixit ",""
"EDCS-42700257","ri  s faciendum curavit  o ",""
"EDCS-45000143","Lancius Tangini filius hic situs est",""
"EDCS-23701474","Dis Manibus Fabia Urba na vixit annos LXXXV hic bene quiescat",""
"EDCS-24900379","Dis Manibus sacrum Titus Flavius Faustulus pius vixit annis XVII mensibus VII diebus XXVI hic situs est piissimo parentes fecerunt Dis Manibus sacrum Veratius Caesarum nostro rum servus pius vixit annis XVIII mensibus VIII diebus XIIII hic situs est av lt u=O gt nculus piissimo et merentissimo","pius"
"EDCS-22901903"," iria Cai liberta Philum ",""
"EDCS-13000708","Dis Manibus sacrum   Ianua ria vixit annos V menses V dies II    VA  III  AE ",""
"EDCS-34801123"," bustu   hos ",""
"EDCS-24400366","Arrun lt ti=IL gt a Honor ata Luci filia vixit annos XXXXI",""
"EDCS-23701915","Memoriae",""
"EDCS-14801555","Lucius Trebius   Iuliae   Trebius    Trebius ",""
"EDCS-12800233","Dis Manibus Aeliae Sabinae Publius Aelius Hermes libertus bene merenti fecit quae vixit annos X","mero"
"EDCS-26600821","Dis Manibus Caio Bovi  Sympho ri Augustali coloniae Dacicae Sarmizegetusae qui vixit annos XXV ",""
"EDCS-20403113","Aulus Metilius Eros vixit annis LX",""
"EDCS-04200269","Caio Laecanio Horeo Licinia Nephele de suo",""
"EDCS-04800153","Agapeto filio dulcissimo q ui vixit annis XVIII et menses  lt qu=C gt inque undeci lt m=N gt   dies minus die XVII Fenia Maxima bene merenti mater",""
"EDCS-05701413","Dis Manibus Nasenniae Pinyte vixit annis viginti   havete",""
"EDCS-20600352","vixit annis quadragin ta cinque  ex quo na ti sunt filii viginti un us et Camurius Niarchus   Rufina filia ipsius q ui  vixit annis cin quaginta  quattuor bene merenti fecerunt",""
"EDCS-73100390","Dis Manibus Statilius Quintianus qui  lt v=B gt ixit annos V menses II diebus  VI horas X Cnaeus Statilius Abascantus et Pacilia Quintiane parentes fecerunt",""
"EDCS-48300136","  Homonio     Ulpio Priv   aris",""
"EDCS-19301141","Caius Terenti lt us=O gt  Cai libertus Ale xander medicus Terentia Cai liberta Flora posterisque eorum",""
"EDCS-23500389","s militavit annos   vixit annos   Claudia A  et Lucius Gavius  lus miles cohortis   Munati  ",""
"EDCS-20300010","Dis Manibus sacrum Lucio Sallust lt io=V gt  Victori filio vixit annis XXI",""
"EDCS-20403526","Iucundus Antoniae Drusi libertus",""
"EDCS-44800149","Imperatori Caesari Tito Aelio Hadriano Antonino Pio pontifici maximo tribunicia potestate XII imperatori II consuli IIII patri patriae et Aurelio Vero Caesari consuli II Colonia Ulpia Oescus per Caium Prastinam Messalinum legatum Augusti pro praetore provinciae  ",""
"EDCS-04201581","De pecunia publica Caius Rubenius Cai filius ludum gladiatorium fecit",""
"EDCS-28200039","Domino nostro Imperatori Caesari Marco Iulio Philippo In victo Pio Felici Augusto pontifici maximo tribunicia potestate patri patriae ab Aquis milia passuum V",""
"EDCS-34300962","NILI",""
"EDCS-24400355","Ex auctoritate Imperatoris Nervae Traia ni Caesaris Augusti Germanici fines dere cti inter rem pu blicam coloniam Phi lippiensem et Claudianum Ar temidorum sua pecunia curavit ",""
"EDCS-03400478","Lucio Aemilio   filio Palatina Sempronio Clementi Silvaniano aedili quaestori IIviro flamini iudici decuriae IIII curatori Capitoli Caius Apuleius Lupus Complutensis amico",""
"EDCS-07800334","V",""
"EDCS-74400165","Valerio Flavo ",""
"EDCS-27500297","Marti et Victoriae vi lt c=K gt ani Scuttarienses curam agentibus Caio Iulio Impetrato et Tito Flavio Gemelino Imperatore  Commodo  III",""
"EDCS-31400019","Imperatori Caesari Traiano Hadriano Augusto patri patriae legio X Fretensis et cohors I",""
"EDCS-21300943","Caio Iulio Marci filio Voltinia Proculo consuli XVviro sacris faciundis fetiali curatori operum publicorum legato Augusti pro praetore ad census provinciae Lug dunensis legato Augusti pro praetore regionis Transpadanae legato legionis VI Ferratae praetori tribuno plebis ab actis Imperatoris Traiani Augusti tribuno legionis IIII Scy thicae quaestori Augustorum IIIviro aere argento auro flando feriundo Antiates publice patrono",""
"EDCS-80600030","Luci Aureli Veri Augusti ",""
"EDCS-34201082","meno   Agathon  O",""
"EDCS-66300889","Legio IIII Macedonica",""
"EDCS-32803420","Ex figlinis Domitiae Domitiani Sulpicianis Paetino et Aproniano consulibus",""
"EDCS-24500522","In honorem Genii centuriae pro salute Augusti Flavius Victo rinus votum solvit libens merito",""
"EDCS-07800721","|Centuria Rufi Sabini GNATLV",""
"EDCS-18400018","Legio XIII Gemina",""
"EDCS-06000429","Publio Septimio Getae Caesari Imperatoris Caesaris Luci Septimi Severi Pii Pertina cis Augusti Arabici A diabenici Parthi ci maximi fortissi mi felicissimi patris patriae filio et Imperatoris Caesaris Marci Aurelli An tonino  Augusti tribunicia potestate proconsulis fratri Messius Atticus |centurio cohortis X urbanae votum solvit",""
"EDCS-21200017","pro seviratu gratuito D  Se",""
"EDCS-71400225"," Speratus  ",""
"EDCS-66300013","Imperator Caesar Marcus Aurelius Antoninus Pi us Felix Augustus pater patriae consul divi Mag ni Antonini filius divi Se veri nepos mi liaria nova posuit per Titum  Aelium Decria num procuratorem su um res publica Pomarium milia passuum XI",""
"EDCS-19000077","Ossa Marciae |mulieris libertae Regillae Caius P V",""
"EDCS-29600363","Imperator Caesar Traianus Hadrianus Augustus tribunicia potestate XVIII consul III pontifex maximus pater patriae a colonia Caesare Augusta milia passuum LXV",""
"EDCS-71700020","Cohors III",""
"EDCS-08901039","I    Senecio",""
"EDCS-27500043","Lucius Statius Luci filius Facula quinquennalis Matri deum aedem de pecunia sua fecit ex voto",""
"EDCS-12100851","Imperator Caesar Caius Iulius Verus Maxi minus Pius Felix Augustus pontifex maximus tribunicia potestate II consul pater patriae proconsul nomina militum qui militaverunt in cohortibus praetoriis Maxi minianis decem I II III IIII V VI VII VIII VIIII X piis vindicibus qui pie et fortiter militia functi sunt ius tribui conubii dumtaxat cum sin gulis et primis uxoribus ut etiam si peregrini iuris feminae in ma trimonio suo iunxerint proin de liberos tollant ac si ex duobus civibus Romanis natos ante diem VII Idus Ianuarias Imperatore Caesare Caio Iulio Vero Maximino Pio Felice Augusto Marco Pupieno Africano consulibus cohortis V praetoriae  Maximinianae Piae Vindicis Marco Aurelio Marci filio Ulpia Vellico Serdica descriptum et recognitum ex tabula aerea quae fixa est Romae in muro post templum divi Augusti ad Minervam  Imperator Caesar Caius Iulius Verus Maxi minus Pius Felix Augustus pontifex maximus tribunicia potestate II consul pater patriae proconsul nomina militum qui militaverunt in cohortibus praetoriis Maxi minianis decem I II III IIII V VI VII VIII VIIII X piis vindicibus qui pie et fortiter militia functi sunt ius tribui conubii dumtaxat cum sin gulis et primis uxoribus ut etiam si peregrini iuris feminae in ma trimonio suo iunxerint proin de liberos tollant ac si ex duobus civibus Romanis natos ante diem VII Idus Ianuarias Imperatore Caesare Caio Iulio Vero Maximino Pio Felice Augusto Marco Pupieno Africano consulibus cohortis V praetoriae  Maximinianae Piae Vindicis Marco Aurelio Marci filio Ulpia Vellico Serdica descriptum et recognitum ex tabula aerea quae fixa est Romae in muro post templum divi Augusti ad Minervam Cai Popili Fortunati Marci Molli Agathopi Publi Septimi Bassi Cai Masili Ingenui Marci Aureli Dizes Marci Aureli Diogenetis Titi Claudi Bassi",""
"EDCS-05200616","  Invicto pr o salute su am et suor um ex voto posuit Ulpius Valens miles classis Messa la et Sabino consulibus",""
"EDCS-12700659"," Tromentina Maximo IIIIviro iure dicundo IIIIviro quinquennali bis flamini Augustali tribuno militum legionis VI Gemellae praefecto fabrum auguri quaestori decreto decurionum",""
"EDCS-01200040","Iovi Optimo Maximo ceteris que dis deabus omnibus ",""
"EDCS-16400048","In honorem domus divinae Genio tectorum milites Mattiacorum",""
"EDCS-11900396","ssa  Hostilinianus   IIvir quaestor aerarii Ostiensium flamen decreto decurionum curator lusus iuvenalis   qui primus omnium ab urbe condita ludos cum   gladiatorum et mulieres ad ferrum dedit una cum   Sabina uxore fecit sibi et  nio Agonio     corporis togatensium  um qui et",""
"EDCS-28000306","Casellium aedilem",""
"EDCS-17201126","Publius Alfenus Vari libertus Techno",""
"EDCS-26600801","Silvano Do mestico Publius Aelius Eupho rus pro salute Publi Aeli Mari con ductoris pascui et sa linarum libens votum vovit",""
"EDCS-56300022","Cnaeo Octavio Palatina Ulpiano Phainus pater",""
"EDCS-34200061","Imperatori Caesari Tito Aelio Hadriano Antonino Augusto Pio pontifici maximo tribunicia potestate VII consuli III patri patriae vexillatio legionis II Traianae Fortis et auxiliares eius castra sub   Avito que sub praefecto Ferresani portus et Ponti Herculis fecerunt et dedicaverunt",""
"EDCS-22700758","tribuno militum legionis XXII     duumviro allecto      quod munus gladiatorium edidit",""
"EDCS-17200135","Aesculapio et Hygiae dominis Publius Aelius Philetus votum solvit libens laetus merito",""
"EDCS-65000072","Imperator Caesar divi Hadriani filius divi Traiani Parthici nepos divi Nervae pronepos Titus Aelius Hadrianus Antoninus Augustus Pius pontifex maximus tribunicia potestate VII imperator II consul III pater patriae equitibus qui inter singulares militaverunt quibus praeest   quinis et vicenis pluribusve stipendiis emeritis dimissis honesta missione quorum nomina subscripta sunt civitatem Romanam qui eorum non haberent dedit et conubium cum uxoribus quas tunc habuissent cum est civitas iis data aut si qui caelibes essent cum iis quas postea duxissent dumtaxat singulis ante diem XIIII Kalendas Apriles Plariano et Karo consulibus Tito Flavio Durisae filio Druso Apris  Descriptum et recognitum ex tabula aerea quae fixa est Romae in muro post templum divi Augusti ad Minervam  Publi Atti Severi Luci Pulli Daphni Marci Servili Getae Marci Tetti Proculi Marci Sentili Iasi Tiberi Iuli Felicis Cai Iuli Silvani",""
"EDCS-11000018","Mercurio et Maiae sacrum Sennaus Le  Gnata Luteui Vire  Ratulla filii  Rufino et Quadrato consulibus",""
"EDCS-08600219","Corneliae Quinti filiae Sympherusae",""
"EDCS-08701154","Vi Fir  annorum",""
"EDCS-11300825","Imperatori Caesari divi Traiani Parthici filio divi Nervae nepoti Traiano Hadriano Augusto pontifici maximo tribunicia potestate   consuli patri patriae",""
"EDCS-31200176","Opus doliare ex figulinis Ivili anianis Aeliae Severae L C",""
"EDCS-13500203","Cohortis III",""
"EDCS-05000087","Caius Iulius Felix stabularius",""
"EDCS-64400492","Locus sepulturae  Quinti ",""
"EDCS-09500248","Imperator Caesar Titus Aelius Hadrianus Antoninus Augustus Pius pater patriae tribunicia potestate VII consul III",""
"EDCS-70100123","Imperator    Titus Aelius  Hadrianus Antoninus Pius",""
"EDCS-08401276","Annius     Teretina  Camars Xvir stlitibus iudicandis tribunus militum legionis   sevir equitum Romanorum turmae   tribunus plebis praetor proconsul provinciae   legatus pro praetore provinciae Africae   statuas  sibi et Lucio Annio   ex argento libris |mille dedit   quarum manupretium  vit item HS nummum CCmilia ex quorum usuris omnibus annis   ludi athletarum aut circen ses   ederentur idem ad memoriae aeternitatem hoc monumentum extruxit",""
"EDCS-11001762"," tiae M  hir   en",""
"EDCS-03600023","Arretium ",""
"EDCS-15100372","Caius Thar  Titi filius TTAR  annum I menses I  hic sepultus est   eius semor",""
"EDCS-05100269","Priapo Lucius Pladici us Tertius votum solvit libens merito",""
"EDCS-28200126","DDominis nnostris Imperatoribus Caesarib us Treboniano Gallo iterum et Afi nio Volussiano Auggustis consuli Tipasitani milia passuum III",""
"EDCS-17600015","Imperatori Caesari Marco Aurelio Antonino Pio Felici Invicto Augusto Parthico maximo Britannico maximo pontifici maximo tribunicia potestate XVI imperatori II consuli IIII patri patriae proconsuli domino indulgentissimo negotiantes vascularii conservatori suo numini eius devoti",""
"EDCS-34501099","Matronis ",""
"EDCS-84400159","C Or",""
"EDCS-19600056","Marcius Crescens |centuria Valeriani sebaciaria anno II Calpurnius Victor sebaciarius",""
"EDCS-13301457"," AV",""
"EDCS-35900014","Publi Sallusti Publi filii Lucullii  fecit Cusinia mater filio pientissimo et Publio  Sallustio Erotyllo patri eius   Cusinio Atimeto et sibi in hoc religioso loco ergo sanctus positus est ne quis velit huic loco iniuriam fecisse iussa per quietem hoc titulo cavi",""
"EDCS-47600163"," Burri  Audax  votum solvit libens merito",""
"EDCS-17400027","Imperatori Caesari Lucio Septimio Severo Pio Pertinaci Augusto Arabico Adiabenico Parthico maximo pontifici maximo tribunicia potestate VIIII imperatori XI consuli II designato III patri patriae proconsuli et Imperatori Caesari Luci Septimii Severi Pii Pertinacis Augusti Arabici Adiabenico Parthici maximi filio Marco Aurelio Antonino",""
"EDCS-08500391","Severus",""
"EDCS-29100081","Caio Valerio Cai filio Papiria Valeriano IIviro coloniae Sarmizegetusae metropolis decurioni coloniae Apulensis equiti Romano Valerii Niceforus et Protus liberti patrono dignissimo locus datus decreto decurionum","dignus"
"EDCS-11301522","Marti Equitum templum pro salute dominorum nostrorum Severi et Antonini Imperatorum   Atrium Decoratum tribunum cohortis II Aureliae Dardanorum Antoni nianae |miliariae equitatae AE ",""
"EDCS-12300136","Opus cohortis VII",""
"EDCS-35600137","an   sell  votum solvit libens merito",""
